Sweep,SD,Value,PC
94,3,51.52,PC2
95,3,47.555,PC2
96,3,43.073,PC2
97,3,37.997,PC2
98,3,31.85,PC2
99,3,24.129,PC2
100,3,12.547,PC2
1,4,13.38,PC2
2,4,25.686,PC2
3,4,33.532,PC2
4,4,39.719,PC2
5,4,44.801,PC2
6,4,49.209,PC2
7,4,52.961,PC2
8,4,56.339,PC2
9,4,59.38,PC2
10,4,62.174,PC2
11,4,64.73,PC2
12,4,67.024,PC2
13,4,69.176,PC2
14,4,71.233,PC2
15,4,73.103,PC2
16,4,74.845,PC2
17,4,76.49,PC2
18,4,77.999,PC2
19,4,79.445,PC2
20,4,80.818,PC2
21,4,82.095,PC2
22,4,83.283,PC2
23,4,84.394,PC2
24,4,85.468,PC2
25,4,86.431,PC2
26,4,87.368,PC2
27,4,88.231,PC2
28,4,89.037,PC2
29,4,89.771,PC2
30,4,90.461,PC2
31,4,91.145,PC2
32,4,91.725,PC2
33,4,92.331,PC2
34,4,92.888,PC2
35,4,93.393,PC2
36,4,93.83,PC2
37,4,94.252,PC2
38,4,94.636,PC2
39,4,94.96,PC2
40,4,95.288,PC2
41,4,95.587,PC2
42,4,95.872,PC2
43,4,96.106,PC2
44,4,96.308,PC2
45,4,96.489,PC2
46,4,96.641,PC2
47,4,96.788,PC2
48,4,96.868,PC2
49,4,96.975,PC2
50,4,97.012,PC2
51,4,97.063,PC2
52,4,97.027,PC2
53,4,97,PC2
54,4,96.976,PC2
55,4,96.88,PC2
56,4,96.766,PC2
57,4,96.666,PC2
58,4,96.518,PC2
59,4,96.373,PC2
60,4,96.142,PC2
61,4,95.915,PC2
62,4,95.634,PC2
63,4,95.338,PC2
64,4,95.042,PC2
65,4,94.712,PC2
66,4,94.292,PC2
67,4,93.887,PC2
68,4,93.379,PC2
69,4,92.891,PC2
70,4,92.35,PC2
71,4,91.767,PC2
72,4,91.116,PC2
73,4,90.432,PC2
74,4,89.68,PC2
75,4,88.827,PC2
76,4,87.988,PC2
77,4,87.034,PC2
78,4,86.03,PC2
79,4,84.952,PC2
80,4,83.781,PC2
81,4,82.521,PC2
82,4,81.166,PC2
83,4,79.757,PC2
84,4,78.203,PC2
85,4,76.635,PC2
86,4,74.829,PC2
87,4,72.956,PC2
88,4,70.809,PC2
